age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
32,admin.,0,high.school,0,1,0,cellular,nov,mon,92,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,admin.,0,high.school,0,1,0,cellular,nov,mon,124,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,admin.,0,high.school,0,1,0,cellular,nov,mon,86,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
38,technician,0,professional.course,0,1,0,cellular,nov,mon,253,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
29,admin.,1,university.degree,0,0,0,cellular,nov,mon,142,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,admin.,1,university.degree,0,0,0,cellular,nov,mon,62,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
40,blue-collar,1,basic.6y,0,0,0,cellular,nov,mon,128,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
38,technician,1,professional.course,0,1,0,cellular,nov,mon,240,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
36,self-employed,0,university.degree,0,1,0,cellular,nov,mon,200,2,4,1,1,-0.1,93.2,-42,4.191,5195.8,0
36,unemployed,0,high.school,0,0,0,cellular,nov,mon,166,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
29,admin.,1,high.school,0,1,1,cellular,nov,mon,58,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,unemployed,1,professional.course,0,1,0,cellular,nov,mon,187,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
43,admin.,1,university.degree,0,1,0,cellular,nov,mon,139,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
38,management,0,university.degree,0,0,0,cellular,nov,mon,136,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
31,technician,0,high.school,0,0,0,cellular,nov,mon,44,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
32,self-employed,0,high.school,0,1,0,cellular,nov,mon,223,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
31,self-employed,1,university.degree,0,1,1,cellular,nov,mon,60,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
50,blue-collar,1,basic.6y,0,1,0,cellular,nov,mon,116,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
55,admin.,0,high.school,0,1,0,cellular,nov,mon,179,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,admin.,1,university.degree,0,1,0,cellular,nov,mon,65,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
35,blue-collar,0,high.school,0,0,1,cellular,nov,mon,159,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,housemaid,1,university.degree,0,0,0,cellular,nov,mon,90,4,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,technician,1,high.school,0,1,0,cellular,nov,mon,171,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
58,self-employed,1,university.degree,0,0,0,cellular,nov,mon,224,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
35,blue-collar,1,basic.9y,0,1,0,cellular,nov,mon,101,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,entrepreneur,1,university.degree,0,1,1,cellular,nov,mon,78,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
50,admin.,0,university.degree,0,1,0,telephone,nov,mon,609,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
32,blue-collar,1,basic.9y,0,0,0,cellular,nov,mon,1091,2,5,1,1,-0.1,93.2,-42,4.191,5195.8,1
34,services,0,high.school,0,0,0,telephone,nov,mon,62,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,services,1,professional.course,0,1,1,cellular,nov,mon,148,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
36,services,1,high.school,0,1,0,cellular,nov,mon,193,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
33,blue-collar,1,basic.9y,0,1,0,telephone,nov,mon,309,3,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
53,blue-collar,1,professional.course,0,1,0,cellular,nov,mon,242,3,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,blue-collar,1,basic.9y,0,1,0,cellular,nov,mon,130,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
57,blue-collar,0,basic.9y,0,0,0,cellular,nov,mon,117,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
51,blue-collar,1,basic.4y,0,1,1,cellular,nov,mon,178,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
49,admin.,1,university.degree,0,1,1,telephone,nov,mon,340,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,technician,1,professional.course,0,1,1,cellular,nov,mon,126,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
52,management,1,university.degree,0,0,0,telephone,nov,mon,127,4,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,entrepreneur,1,basic.4y,0,1,0,cellular,nov,mon,333,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,blue-collar,1,basic.9y,0,1,0,cellular,nov,mon,57,4,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
31,self-employed,0,university.degree,0,1,0,cellular,nov,mon,113,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
37,management,1,high.school,0,1,0,telephone,nov,mon,188,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
45,blue-collar,0,basic.9y,0,1,1,cellular,nov,mon,61,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
44,admin.,1,professional.course,0,0,0,cellular,nov,mon,200,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
44,entrepreneur,1,university.degree,0,1,0,cellular,nov,mon,1210,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,1
44,admin.,1,professional.course,0,0,0,cellular,nov,mon,353,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
53,entrepreneur,0,university.degree,0,1,0,cellular,nov,mon,107,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
35,admin.,1,university.degree,0,1,0,cellular,nov,mon,211,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,blue-collar,0,basic.9y,0,1,1,cellular,nov,mon,151,3,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
32,entrepreneur,1,university.degree,0,1,1,telephone,nov,mon,249,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
50,entrepreneur,1,university.degree,0,0,0,cellular,nov,mon,408,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
33,technician,0,university.degree,0,0,0,telephone,nov,mon,293,5,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
36,admin.,0,university.degree,0,1,0,cellular,nov,tue,82,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,management,1,university.degree,0,1,1,cellular,nov,tue,41,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
54,self-employed,1,basic.9y,0,1,0,cellular,nov,tue,139,4,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
47,unemployed,1,high.school,0,1,0,cellular,nov,tue,65,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,self-employed,1,basic.9y,0,0,0,cellular,nov,tue,55,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
54,admin.,0,university.degree,0,1,0,cellular,nov,tue,119,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
30,blue-collar,0,high.school,0,1,1,telephone,nov,tue,228,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
34,blue-collar,1,professional.course,0,1,1,cellular,nov,tue,64,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,entrepreneur,1,basic.9y,0,1,0,cellular,nov,tue,67,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,management,1,university.degree,0,0,0,cellular,nov,tue,1122,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,1
34,blue-collar,1,professional.course,0,0,0,cellular,nov,tue,164,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
32,services,1,high.school,0,1,0,cellular,nov,tue,105,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,entrepreneur,0,basic.4y,0,0,0,cellular,nov,tue,290,1,5,1,1,-0.1,93.2,-42,4.153,5195.8,0
51,admin.,1,high.school,0,0,1,cellular,nov,tue,271,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
52,management,1,high.school,0,1,0,cellular,nov,tue,75,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,blue-collar,1,basic.4y,0,0,0,cellular,nov,tue,181,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
51,admin.,1,university.degree,0,0,0,cellular,nov,tue,104,2,1,1,1,-0.1,93.2,-42,4.153,5195.8,0
36,housemaid,0,basic.9y,0,1,0,cellular,nov,tue,59,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
33,admin.,1,high.school,0,1,0,cellular,nov,tue,273,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
46,blue-collar,1,basic.9y,0,1,0,cellular,nov,tue,50,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,unemployed,1,high.school,1,0,0,cellular,nov,tue,111,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,management,1,basic.4y,0,0,0,cellular,nov,tue,276,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
54,admin.,0,university.degree,0,1,0,cellular,nov,tue,79,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
43,blue-collar,0,basic.4y,0,1,0,cellular,nov,tue,175,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
47,housemaid,0,professional.course,0,0,1,cellular,nov,tue,253,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
48,admin.,0,university.degree,0,0,0,cellular,nov,tue,148,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
38,blue-collar,1,basic.9y,0,0,0,cellular,nov,tue,180,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,services,1,high.school,0,1,0,cellular,nov,tue,129,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
34,blue-collar,1,basic.9y,0,0,0,cellular,nov,tue,54,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
54,entrepreneur,1,basic.4y,0,1,0,cellular,nov,tue,150,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
52,admin.,0,basic.9y,0,1,0,cellular,nov,tue,296,1,6,1,1,-0.1,93.2,-42,4.153,5195.8,0
32,admin.,1,university.degree,0,1,0,cellular,nov,tue,266,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
37,blue-collar,0,basic.6y,0,1,1,cellular,nov,tue,963,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
36,blue-collar,1,basic.9y,0,1,0,cellular,nov,tue,99,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
34,technician,0,university.degree,0,1,0,cellular,nov,tue,82,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,management,1,university.degree,0,0,0,cellular,nov,tue,131,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
49,management,1,university.degree,0,1,0,cellular,nov,tue,37,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
49,management,1,university.degree,0,0,0,cellular,nov,tue,188,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
36,housemaid,1,basic.4y,0,0,0,cellular,nov,tue,242,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
36,technician,1,high.school,0,0,0,cellular,nov,tue,91,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
32,technician,0,professional.course,0,1,0,cellular,nov,tue,78,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
49,blue-collar,1,basic.4y,0,0,0,cellular,nov,tue,34,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
51,services,0,high.school,0,0,0,cellular,nov,tue,119,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
48,admin.,1,university.degree,0,1,1,cellular,nov,tue,122,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
47,services,1,high.school,0,1,0,cellular,nov,tue,103,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
47,technician,1,professional.course,0,0,0,cellular,nov,tue,233,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
49,services,1,high.school,0,0,0,cellular,nov,tue,48,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
51,entrepreneur,1,basic.9y,0,0,0,cellular,nov,tue,125,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
57,management,1,university.degree,0,1,1,cellular,nov,tue,609,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,1
48,technician,1,university.degree,0,1,0,cellular,nov,tue,82,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,management,1,basic.4y,0,1,0,cellular,nov,tue,389,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
46,self-employed,1,basic.4y,0,1,1,cellular,nov,tue,162,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,entrepreneur,1,basic.9y,0,1,0,cellular,nov,tue,100,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,admin.,0,university.degree,0,1,0,cellular,nov,tue,220,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
52,management,1,basic.6y,0,1,0,cellular,nov,tue,97,3,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
51,admin.,1,high.school,0,0,1,cellular,nov,tue,118,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,management,0,high.school,0,1,0,cellular,nov,tue,52,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
46,technician,1,basic.9y,0,1,0,cellular,nov,tue,226,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,technician,1,professional.course,0,1,0,cellular,nov,tue,110,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
30,admin.,1,high.school,0,1,0,cellular,nov,tue,92,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
33,services,0,high.school,0,0,0,cellular,nov,tue,105,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
39,management,1,high.school,0,0,0,cellular,nov,tue,328,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
56,admin.,1,professional.course,0,1,0,cellular,nov,tue,124,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,services,0,professional.course,0,0,0,cellular,nov,tue,68,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
29,management,0,university.degree,0,0,0,cellular,nov,tue,232,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
41,admin.,0,high.school,0,0,0,cellular,nov,tue,143,3,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,blue-collar,0,basic.9y,0,1,0,cellular,nov,tue,65,1,4,1,1,-0.1,93.2,-42,4.153,5195.8,0
33,admin.,0,university.degree,0,0,0,cellular,nov,tue,100,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,services,1,high.school,0,0,0,cellular,nov,tue,51,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,management,0,university.degree,0,1,0,cellular,nov,tue,600,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
54,management,1,university.degree,0,0,0,cellular,nov,tue,53,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,unemployed,1,high.school,0,0,0,cellular,nov,tue,79,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
33,entrepreneur,0,university.degree,0,1,0,cellular,nov,tue,295,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
40,blue-collar,0,basic.9y,0,1,0,cellular,nov,tue,67,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
30,admin.,1,high.school,0,0,0,cellular,nov,tue,157,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,admin.,0,university.degree,0,1,0,cellular,nov,tue,123,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
58,entrepreneur,1,basic.4y,0,0,1,cellular,nov,tue,164,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
38,technician,0,university.degree,0,0,0,cellular,nov,tue,131,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
54,unemployed,1,basic.9y,0,1,0,cellular,nov,tue,127,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,self-employed,1,professional.course,0,1,0,cellular,nov,tue,91,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,technician,0,professional.course,0,0,0,cellular,nov,tue,165,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
49,admin.,1,university.degree,0,0,0,cellular,nov,tue,163,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
51,services,1,basic.9y,0,0,0,cellular,nov,tue,93,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
37,management,1,university.degree,0,0,0,cellular,nov,tue,96,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,admin.,1,high.school,0,0,1,cellular,nov,tue,140,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,technician,1,university.degree,0,0,0,cellular,nov,tue,90,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
47,entrepreneur,0,university.degree,0,0,0,cellular,nov,tue,62,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
43,entrepreneur,1,basic.4y,0,1,0,cellular,nov,tue,154,3,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
36,blue-collar,0,basic.9y,0,1,0,cellular,nov,tue,82,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,blue-collar,1,professional.course,0,1,0,cellular,nov,tue,172,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
44,management,0,university.degree,0,1,0,cellular,nov,tue,120,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
33,technician,1,professional.course,0,0,0,cellular,nov,tue,45,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
58,management,1,university.degree,0,1,1,cellular,nov,tue,240,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
53,self-employed,1,basic.4y,0,1,1,cellular,nov,tue,464,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
42,technician,1,basic.6y,0,0,0,cellular,nov,tue,166,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
53,entrepreneur,1,basic.9y,0,1,0,cellular,nov,tue,146,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
41,technician,1,basic.9y,0,1,0,telephone,nov,tue,102,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
35,blue-collar,1,basic.6y,0,0,0,cellular,nov,tue,86,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
32,services,0,high.school,0,1,0,cellular,nov,tue,74,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
32,admin.,0,university.degree,0,1,0,cellular,nov,tue,145,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
36,blue-collar,0,basic.9y,0,1,0,cellular,nov,tue,67,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
36,admin.,1,high.school,0,1,0,cellular,nov,tue,722,3,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
46,technician,1,professional.course,0,1,0,cellular,nov,tue,163,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
44,management,1,university.degree,0,1,0,cellular,nov,tue,170,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
46,self-employed,1,basic.4y,0,0,0,cellular,nov,tue,354,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
30,management,1,university.degree,0,0,1,cellular,nov,tue,89,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,technician,0,university.degree,0,0,0,cellular,nov,tue,171,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
34,services,1,basic.9y,0,0,0,cellular,nov,tue,218,2,4,1,1,-0.1,93.2,-42,4.153,5195.8,0
37,management,1,university.degree,0,0,0,cellular,nov,tue,658,3,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
30,blue-collar,1,basic.9y,0,1,0,cellular,nov,tue,136,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
29,technician,1,professional.course,0,0,0,cellular,nov,tue,154,3,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
37,management,0,university.degree,0,1,0,cellular,nov,tue,242,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,technician,0,university.degree,0,0,0,cellular,nov,tue,110,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
32,admin.,0,high.school,0,0,0,cellular,nov,tue,115,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,technician,0,university.degree,0,0,0,cellular,nov,tue,259,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
31,admin.,1,high.school,0,1,0,cellular,nov,tue,97,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
50,entrepreneur,1,basic.9y,0,1,0,cellular,nov,tue,241,2,999,1,0,-0.1,93.2,-42,4.153,5195.8,0
